id,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,tahun,jumlah_kasus_meninggal,jenis_kelamin_encoded,mortality_rate,case_fatality_rate
109,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1725,2016,23,0,0.013333333333333334,1.3333333333333335
110,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1699,2016,22,1,0.012948793407886992,1.2948793407886992
111,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,419,2016,5,0,0.011933174224343675,1.1933174224343674
112,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,374,2016,2,1,0.0053475935828877,0.53475935828877
113,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,434,2016,4,0,0.009216589861751152,0.9216589861751152
114,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,365,2016,3,1,0.00821917808219178,0.821917808219178
115,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1664,2016,1,0,0.0006009615384615385,0.06009615384615385
116,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1708,2016,7,1,0.004098360655737705,0.4098360655737705
117,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,291,2016,1,0,0.003436426116838488,0.3436426116838488
118,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,225,2016,1,1,0.0044444444444444444,0.4444444444444444
119,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,229,2016,2,0,0.008733624454148471,0.8733624454148471
120,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,250,2016,1,1,0.004,0.4
121,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,387,2016,0,0,0.0,0.0
122,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,361,2016,0,1,0.0,0.0
123,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,933,2016,6,0,0.006430868167202572,0.6430868167202572
124,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,781,2016,7,1,0.008962868117797696,0.8962868117797695
125,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,940,2016,11,0,0.011702127659574468,1.1702127659574468
126,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,937,2016,8,1,0.008537886872998933,0.8537886872998933
127,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,176,2016,2,0,0.011363636363636364,1.1363636363636365
128,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,152,2016,2,1,0.013157894736842105,1.3157894736842104
129,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,475,2016,1,0,0.002105263157894737,0.21052631578947367
130,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,433,2016,3,1,0.006928406466512702,0.6928406466512702
131,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,483,2016,15,0,0.031055900621118012,3.1055900621118013
132,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,477,2016,20,1,0.041928721174004195,4.1928721174004195
133,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,428,2016,4,0,0.009345794392523364,0.9345794392523363
134,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,271,2016,3,1,0.01107011070110701,1.107011070110701
135,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,424,2016,1,0,0.0023584905660377358,0.2358490566037736
136,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,361,2016,0,1,0.0,0.0
137,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,546,2016,2,0,0.003663003663003663,0.3663003663003663
138,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,513,2016,6,1,0.011695906432748537,1.1695906432748537
139,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,910,2016,6,0,0.006593406593406593,0.6593406593406593
140,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,703,2016,12,1,0.017069701280227598,1.7069701280227598
141,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,815,2016,1,0,0.001226993865030675,0.1226993865030675
142,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,739,2016,2,1,0.0027063599458728013,0.2706359945872801
143,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,73,2016,0,0,0.0,0.0
144,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,70,2016,1,1,0.014285714285714285,1.4285714285714286
145,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,658,2016,5,0,0.007598784194528876,0.7598784194528876
146,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,566,2016,6,1,0.01060070671378092,1.0600706713780919
147,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,431,2016,2,0,0.004640371229698376,0.46403712296983757
148,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,511,2016,3,1,0.005870841487279843,0.5870841487279843
149,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,2054,2016,1,0,0.0004868549172346641,0.04868549172346641
150,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,1827,2016,6,1,0.003284072249589491,0.3284072249589491
151,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,590,2016,2,0,0.003389830508474576,0.3389830508474576
152,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,521,2016,0,1,0.0,0.0
153,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,1972,2016,22,0,0.011156186612576065,1.1156186612576064
154,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,1841,2016,28,1,0.015209125475285171,1.520912547528517
155,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,1285,2016,3,0,0.0023346303501945525,0.23346303501945526
156,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,1270,2016,4,1,0.0031496062992125984,0.31496062992125984
157,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,483,2016,1,0,0.002070393374741201,0.2070393374741201
158,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,516,2016,2,1,0.003875968992248062,0.3875968992248062
159,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,381,2016,0,0,0.0,0.0
160,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,373,2016,5,1,0.013404825737265416,1.3404825737265416
161,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,175,2016,0,0,0.0,0.0
162,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,193,2016,2,1,0.010362694300518135,1.0362694300518136
163,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,164,2017,0,0,0.0,0.0
164,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,113,2017,1,1,0.008849557522123894,0.8849557522123894
165,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,136,2017,0,0,0.0,0.0
166,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,120,2017,0,1,0.0,0.0
167,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,0,2017,0,0,,
168,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,0,2017,0,1,,
169,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,0,2017,0,0,,
170,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,0,2017,0,1,,
171,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,206,2017,0,0,0.0,0.0
172,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,200,2017,0,1,0.0,0.0
173,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,105,2017,0,0,0.0,0.0
174,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,119,2017,1,1,0.008403361344537815,0.8403361344537815
175,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,31,2017,0,0,0.0,0.0
176,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,16,2017,0,1,0.0,0.0
177,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,386,2017,0,0,0.0,0.0
178,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,342,2017,0,1,0.0,0.0
179,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,151,2017,3,0,0.019867549668874173,1.9867549668874174
